Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1661,Adam Masina,ma MAR,DF,Torino,it Serie A,30,1994,21.3,1,8,2,25.0,0.38,0.09,0.13,0.50,14.6,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
1662,Patrizio Masini,it ITA,MF,Genoa,it Serie A,23,2001,17.1,1,8,1,12.5,0.47,0.06,0.13,1.00,15.5,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
1663,Giorgos Masouras,gr GRE,"FW,MF",Bochum,de Bundesliga,30,1994,11.7,2,30,15,50.0,2.56,1.28,0.07,0.13,14.5,1,0,0,3.9,3.9,0.13,-1.9,-1.9,Matches
1664,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,25,1998,10.1,1,7,4,57.1,0.69,0.40,0.14,0.25,11.0,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
1665,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,23,2001,11.6,0,6,3,50.0,0.52,0.26,0.00,0.00,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
1666,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,31,1992,26.3,0,5,0,0.0,0.19,0.00,0.00,,21.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1667,Jaime Mata,es ESP,"FW,MF",Las Palmas,es La Liga,35,1988,7.3,0,17,6,35.3,2.33,0.82,0.00,0.00,11.3,0,0,0,2.6,2.6,0.15,-2.6,-2.6,Matches
1668,Igor Matanovic,hr CRO,FW,Eint Frankfurt,de Bundesliga,21,2003,3.5,1,12,4,33.3,3.46,1.15,0.08,0.25,14.1,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
1669,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,21,2002,21.3,3,34,13,38.2,1.60,0.61,0.09,0.23,21.0,0,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
1670,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,22,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1671,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,27,1997,29.4,14,68,29,42.6,2.31,0.99,0.18,0.41,15.5,0,2,2,13.6,12.0,0.18,+0.4,0.0,Matches
1672,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,35,1988,22.3,0,2,1,50.0,0.09,0.04,0.00,0.00,14.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1673,Rudy Matondo,fr FRA,MF,Auxerre,fr Ligue 1,16,2008,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1674,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,22,2002,28.3,1,14,2,14.3,0.49,0.07,0.07,0.50,10.2,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches
1675,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,19,2005,10.2,2,10,3,30.0,0.98,0.29,0.20,0.67,17.1,0,0,0,1.9,1.9,0.19,+0.1,+0.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1676,Alan Matturro,uy URU,DF,Genoa,it Serie A,19,2004,10.0,0,4,3,75.0,0.40,0.30,0.00,0.00,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1677,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,26,1998,23.1,1,11,2,18.2,0.48,0.09,0.09,0.50,20.0,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
1678,Neal Maupay,fr FRA,FW,Marseille,fr Ligue 1,27,1996,11.6,4,19,10,52.6,1.64,0.86,0.21,0.40,10.6,0,0,0,4.1,4.1,0.22,-0.1,-0.1,Matches
1679,Maurides,br BRA,FW,St. Pauli,de Bundesliga,30,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1680,Stephy Mavididi,eng ENG,FW,Leicester City,eng Premier League,26,1998,17.9,4,26,7,26.9,1.45,0.39,0.15,0.57,16.1,1,0,0,1.8,1.8,0.07,+2.2,+2.2,Matches
1681,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,26,1997,22.7,0,18,5,27.8,0.79,0.22,0.00,0.00,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
1682,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,19,2005,16.7,0,1,1,100.0,0.06,0.06,0.00,0.00,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1683,Keke Maximilian Topp,de GER,"FW,MF",Werder Bremen,de Bundesliga,20,2004,2.8,2,7,4,57.1,2.50,1.43,0.29,0.50,12.9,0,0,0,1.0,1.0,0.14,+1.0,+1.0,Matches
1684,Borja Mayoral,es ESP,FW,Getafe,es La Liga,27,1997,12.4,5,19,8,42.1,1.54,0.65,0.21,0.50,13.9,0,1,1,3.4,2.6,0.14,+1.6,+1.4,Matches
1685,Senny Mayulu,fr FRA,MF,Paris S-G,fr Ligue 1,18,2006,9.0,2,25,8,32.0,2.78,0.89,0.08,0.25,15.9,0,0,0,2.9,2.9,0.12,-0.9,-0.9,Matches
1686,Noussair Mazraoui,ma MAR,DF,Manchester Utd,eng Premier League,26,1997,31.5,0,13,3,23.1,0.41,0.10,0.00,0.00,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
1687,Andrea Mazza,it ITA,GK,Monza,it Serie A,20,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1688,Luca Mazzitelli,it ITA,MF,Como,it Serie A,28,1995,3.7,1,7,3,42.9,1.88,0.81,0.14,0.33,17.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
1689,Pasquale Mazzocchi,it ITA,"DF,FW",Napoli,it Serie A,29,1995,7.8,0,3,1,33.3,0.38,0.13,0.00,0.00,13.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
1690,Samuel Mbangula,be BEL,FW,Juventus,it Serie A,20,2004,7.9,3,9,5,55.6,1.14,0.63,0.33,0.60,18.7,0,0,0,0.6,0.6,0.07,+2.4,+2.4,Matches
1691,Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,17,2006,2.5,0,11,4,36.4,4.46,1.62,0.00,0.00,18.1,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches
1692,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,25,1998,32.3,31,152,75,49.3,4.71,2.32,0.16,0.32,17.3,3,7,9,25.9,18.6,0.12,+5.1,+5.4,Matches
1693,Ibrahim Mbaye,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,16,2008,3.8,1,12,7,58.3,3.18,1.85,0.08,0.14,14.4,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matches
1694,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,24,1999,37.9,20,79,34,43.0,2.08,0.90,0.19,0.44,17.9,6,5,6,12.3,7.5,0.10,+7.7,+7.5,Matches
1695,James Mcatee,eng ENG,"MF,FW",Manchester City,eng Premier League,21,2002,3.9,3,12,4,33.3,3.09,1.03,0.25,0.75,14.3,0,0,0,2.8,2.8,0.23,+0.2,+0.2,Matches
1696,Kasey McAteer,ie IRL,FW,Leicester City,eng Premier League,22,2001,9.5,1,13,7,53.8,1.37,0.74,0.08,0.14,16.4,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
1697,Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28,1996,20.4,3,32,12,37.5,1.57,0.59,0.09,0.25,12.3,0,0,0,4.8,4.8,0.15,-1.8,-1.8,Matches
1698,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1699,John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,29,1994,24.7,1,31,5,16.1,1.26,0.20,0.03,0.20,17.0,1,0,0,3.1,2.8,0.09,-2.1,-1.8,Matches
1700,Scott McKenna,sct SCO,DF,Las Palmas,es La Liga,27,1996,27.4,0,10,0,0.0,0.36,0.00,0.00,,12.5,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1701,Weston McKennie,us USA,"MF,DF",Juventus,it Serie A,25,1998,25.7,2,22,8,36.4,0.86,0.31,0.09,0.25,12.6,0,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches
1702,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,25,1999,27.7,1,8,2,25.0,0.29,0.07,0.13,0.50,11.2,0,0,0,1.4,1.4,0.17,-0.4,-0.4,Matches
1703,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,24,1999,15.2,4,25,10,40.0,1.64,0.66,0.16,0.40,21.9,0,0,0,1.1,1.1,0.04,+2.9,+2.9,Matches
1704,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,27,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1705,Scott McTominay,sct SCO,MF,Napoli,it Serie A,27,1996,32.6,12,76,33,43.4,2.33,1.01,0.16,0.36,15.3,2,0,0,7.4,7.4,0.10,+4.6,+4.6,Matches
1706,Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,25,1998,17.8,1,14,3,21.4,0.79,0.17,0.07,0.33,14.6,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
1707,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,25,1999,28.3,0,27,3,11.1,0.96,0.11,0.00,0.00,18.3,0,0,0,1.8,1.8,0.07,-1.8,-1.8,Matches
1708,Ben Mee,eng ENG,DF,Brentford,eng Premier League,34,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1709,Jayden Meghoma,eng ENG,DF,Brentford,eng Premier League,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1710,Henrik Meister,dk DEN,FW,Rennes,fr Ligue 1,20,2003,0.7,1,2,1,50.0,2.86,1.43,0.50,1.00,17.4,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
1711,Bamo Meïté,ci CIV,DF,Montpellier,fr Ligue 1,22,2001,4.7,0,1,0,0.0,0.21,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1712,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,22,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1713,Mohamed Meité,fr FRA,FW,Rennes,fr Ligue 1,16,2007,6.0,2,15,5,33.3,2.48,0.83,0.13,0.40,10.8,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Matches
1714,Mateo Mejía,es ESP,FW,Sevilla,es La Liga,21,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1715,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,27,1997,21.0,2,46,14,30.4,2.19,0.67,0.04,0.14,21.9,7,0,0,3.6,3.6,0.08,-1.6,-1.6,Matches
1716,Filippo Melegoni,it ITA,"MF,FW",Genoa,it Serie A,25,1999,1.0,0,1,0,0.0,1.01,0.00,0.00,,21.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
1717,Arthur Melo,br BRA,MF,Girona,es La Liga,27,1996,10.5,0,6,1,16.7,0.57,0.10,0.00,0.00,26.0,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
1718,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,22,2002,18.6,1,21,9,42.9,1.13,0.48,0.05,0.11,20.2,1,0,0,2.2,2.2,0.10,-1.2,-1.2,Matches
1719,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,27,1997,17.0,3,28,9,32.1,1.65,0.53,0.11,0.33,18.0,4,0,0,3.5,3.5,0.13,-0.5,-0.5,Matches
1720,Antoine Mendy,sn SEN,DF,Nice,fr Ligue 1,20,2004,9.2,0,9,1,11.1,0.98,0.11,0.00,0.00,14.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
1721,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,29,1995,11.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1722,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,32,1992,6.5,0,3,0,0.0,0.46,0.00,0.00,,23.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
1723,Nobel Mendy,fr FRA,DF,Betis,es La Liga,19,2004,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1724,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,26,1998,25.3,0,4,1,25.0,0.16,0.04,0.00,0.00,21.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1725,Alex Meret,it ITA,GK,Napoli,it Serie A,27,1997,33.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1726,Mikel Merino,es ESP,"MF,FW",Arsenal,eng Premier League,28,1996,17.6,7,38,13,34.2,2.16,0.74,0.18,0.54,10.7,0,0,0,5.9,5.9,0.16,+1.1,+1.1,Matches
1727,Quentin Merlin,fr FRA,DF,Marseille,fr Ligue 1,22,2002,17.7,1,26,9,34.6,1.47,0.51,0.04,0.11,16.9,0,0,0,2.1,2.1,0.08,-1.1,-1.1,Matches
1728,Víctor Meseguer,es ESP,MF,Valladolid,es La Liga,25,1999,4.6,0,6,0,0.0,1.29,0.00,0.00,,19.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
1729,Rafik Messali,fr FRA,DF,Toulouse,fr Ligue 1,21,2003,5.1,0,4,0,0.0,0.79,0.00,0.00,,15.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
1730,Junior Messias,br BRA,"MF,FW",Genoa,it Serie A,33,1991,9.4,1,17,5,29.4,1.81,0.53,0.06,0.20,21.0,1,0,1,2.4,1.4,0.08,-1.4,-0.4,Matches
1731,Connor Metcalfe,au AUS,"MF,FW",St. Pauli,de Bundesliga,24,1999,4.0,0,6,3,50.0,1.51,0.75,0.00,0.00,22.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
1732,Karol Mets,ee EST,DF,St. Pauli,de Bundesliga,31,1993,10.0,0,3,0,0.0,0.30,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1733,Thomas Meunier,be BEL,DF,Lille,fr Ligue 1,32,1991,21.4,2,28,11,39.3,1.31,0.51,0.07,0.18,16.6,0,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
1734,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,33,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1735,Shumaira Mheuka,eng ENG,MF,Chelsea,eng Premier League,16,2007,0.0,0,1,1,100.0,90.00,90.00,0.00,0.00,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1736,Lucas Michal,fr FRA,"FW,MF",Monaco,fr Ligue 1,19,2005,1.3,0,3,1,33.3,2.31,0.77,0.00,0.00,12.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
1737,Florian Micheler,at AUT,MF,Hoffenheim,de Bundesliga,19,2005,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1738,Miguel,es ESP,FW,Leganés,es La Liga,24,1999,19.2,1,33,14,42.4,1.72,0.73,0.00,0.00,15.5,0,1,2,4.9,3.3,0.10,-3.9,-3.3,Matches
1739,Valentin Mihaila,ro ROU,"FW,MF",Parma,it Serie A,24,2000,14.3,0,31,11,35.5,2.17,0.77,0.00,0.00,22.1,5,0,0,2.4,2.4,0.08,-2.4,-2.4,Matches
1740,Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,23,2000,16.1,11,52,22,42.3,3.23,1.37,0.15,0.36,14.1,0,3,4,10.3,7.0,0.14,+0.7,+1.0,Matches
1741,Igor Miladinović,rs SRB,"FW,MF",Saint-Étienne,fr Ligue 1,21,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1742,Nikola Milenković,rs SRB,DF,Nott'ham Forest,eng Premier League,26,1997,37.0,5,29,8,27.6,0.78,0.22,0.17,0.63,11.6,0,0,0,4.0,4.0,0.14,+1.0,+1.0,Matches
1743,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,18,2006,3.5,1,3,2,66.7,0.86,0.58,0.33,0.50,14.6,0,0,0,0.5,0.5,0.18,+0.5,+0.5,Matches
1744,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27,1997,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1745,Éder Militão,br BRA,DF,Real Madrid,es La Liga,26,1998,10.4,1,10,3,30.0,0.96,0.29,0.10,0.33,17.3,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
1746,Luis Milla,es ESP,MF,Getafe,es La Liga,29,1994,31.9,1,31,7,22.6,0.97,0.22,0.00,0.00,25.3,4,1,1,1.8,1.0,0.03,-0.8,-1.0,Matches
1747,Pere Milla,es ESP,"MF,FW",Espanyol,es La Liga,31,1992,5.1,3,11,5,45.5,2.17,0.99,0.27,0.60,15.7,1,0,0,1.5,1.5,0.13,+1.5,+1.5,Matches
1748,Enzo Millot,fr FRA,"MF,FW",Stuttgart,de Bundesliga,22,2002,20.5,6,43,17,39.5,2.10,0.83,0.14,0.35,16.6,0,0,1,7.6,6.7,0.16,-1.6,-0.7,Matches
1749,James Milner,eng ENG,MF,Brighton,eng Premier League,38,1986,1.9,0,2,0,0.0,1.06,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
1750,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,27,1996,25.4,2,7,5,71.4,0.28,0.20,0.29,0.40,6.0,0,0,0,1.6,1.6,0.23,+0.4,+0.4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1751,Yerry Mina,co COL,DF,Cagliari,it Serie A,29,1994,28.5,1,26,8,30.8,0.91,0.28,0.04,0.13,11.2,0,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches
1752,Takumi Minamino,jp JPN,"MF,FW",Monaco,fr Ligue 1,29,1995,24.8,6,57,20,35.1,2.30,0.81,0.11,0.30,14.7,0,0,0,8.9,8.9,0.16,-2.9,-2.9,Matches
1753,Lucas Mincarelli,fr FRA,DF,Montpellier,fr Ligue 1,20,2004,7.9,1,7,2,28.6,0.88,0.25,0.14,0.50,15.3,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
1754,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,31,1993,12.4,0,9,1,11.1,0.72,0.08,0.00,0.00,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
1755,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,es La Liga,25,1999,30.3,4,33,10,30.3,1.09,0.33,0.12,0.40,23.3,8,0,0,1.5,1.5,0.04,+2.5,+2.5,Matches
1756,Kim Minsu,kr KOR,"MF,FW",Girona,es La Liga,18,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1757,Yankuba Minteh,gm GAM,"FW,MF",Brighton,eng Premier League,20,2004,20.4,6,34,16,47.1,1.66,0.78,0.18,0.38,13.8,0,0,0,4.1,4.1,0.12,+1.9,+1.9,Matches
1758,Bojan Miovski,mk MKD,FW,Girona,es La Liga,25,1999,9.7,2,14,4,28.6,1.45,0.41,0.14,0.50,12.3,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Matches
1759,Rafa Mir,es ESP,"FW,MF",Valencia,es La Liga,27,1997,8.4,1,27,7,25.9,3.23,0.84,0.04,0.14,16.5,0,0,0,3.0,3.0,0.11,-2.0,-2.0,Matches
1760,Juan Miranda,es ESP,DF,Bologna,it Serie A,24,2000,25.3,0,22,5,22.7,0.87,0.20,0.00,0.00,26.1,6,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches
1761,Fabio Miretti,it ITA,"MF,FW",Genoa,it Serie A,20,2003,18.6,3,24,6,25.0,1.29,0.32,0.13,0.50,17.4,1,0,0,3.1,3.1,0.13,-0.1,-0.1,Matches
1762,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,24,1999,34.4,0,12,3,25.0,0.35,0.09,0.00,0.00,12.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
1763,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,eng Premier League,27,1997,28.9,10,57,27,47.4,1.97,0.93,0.18,0.37,13.9,0,0,0,9.2,9.2,0.16,+0.8,+0.8,Matches
1764,Maximilian Mittelstädt,de GER,DF,Stuttgart,de Bundesliga,27,1997,27.4,1,21,4,19.0,0.77,0.15,0.05,0.25,23.6,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
1765,Koji Miyoshi,jp JPN,"FW,MF",Bochum,de Bundesliga,27,1997,5.2,1,12,5,41.7,2.33,0.97,0.08,0.20,21.1,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
1766,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,35,1989,26.6,1,23,2,8.7,0.86,0.08,0.04,0.50,21.0,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
1767,Jakub Moder,pl POL,MF,Brighton,eng Premier League,25,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1768,Rui Modesto,ao ANG,"DF,MF",Udinese,it Serie A,24,1999,6.8,0,3,2,66.7,0.44,0.30,0.00,0.00,17.4,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
1769,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,38,1985,20.3,2,22,6,27.3,1.08,0.30,0.09,0.33,23.1,1,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches
1770,Max Moerstedt,de GER,FW,Hoffenheim,de Bundesliga,,,5.0,0,12,4,33.3,2.39,0.80,0.00,0.00,12.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
1771,Terem Moffi,ng NGA,FW,Nice,fr Ligue 1,25,1999,0.6,1,6,4,66.7,9.31,6.21,0.17,0.25,9.2,0,0,0,2.3,2.3,0.46,-1.3,-1.3,Matches
1772,Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,26,1997,13.9,5,43,16,37.2,3.09,1.15,0.12,0.31,13.7,2,0,0,5.5,5.5,0.13,-0.5,-0.5,Matches
1773,Johan Mojica,co COL,DF,Mallorca,es La Liga,31,1992,30.6,1,17,3,17.6,0.56,0.10,0.06,0.33,24.2,4,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
1774,David Mokwa,fr FRA,"DF,FW",Hoffenheim,de Bundesliga,20,2004,0.2,0,2,2,100.0,8.18,8.18,0.00,0.00,5.4,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
1775,Alberto Moleiro,es ESP,"FW,MF",Las Palmas,es La Liga,20,2003,30.2,6,68,24,35.3,2.25,0.80,0.09,0.25,19.0,0,0,0,5.6,5.6,0.08,+0.4,+0.4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1776,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,26,1998,17.7,0,9,1,11.1,0.51,0.06,0.00,0.00,19.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
1777,Florent Mollet,fr FRA,"MF,FW",Nantes,fr Ligue 1,32,1991,2.7,0,6,2,33.3,2.23,0.74,0.00,0.00,15.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1778,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,26,1998,23.3,0,21,9,42.9,0.90,0.39,0.00,0.00,17.9,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
1779,Jeremy Monga,,"FW,MF",Leicester City,eng Premier League,,,1.2,0,3,1,33.3,2.41,0.80,0.00,0.00,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1780,Gonzalo Montiel,ar ARG,"DF,MF",Sevilla,es La Liga,27,1997,1.3,0,1,0,0.0,0.80,0.00,0.00,,14.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1781,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,28,1996,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1782,Mikey Moore,eng ENG,FW,Tottenham,eng Premier League,16,2007,4.1,0,3,0,0.0,0.74,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
1783,Álvaro Morata,es ESP,"FW,MF",Milan,it Serie A,31,1992,12.2,5,27,10,37.0,2.21,0.82,0.19,0.50,11.3,0,0,0,3.9,3.9,0.15,+1.1,+1.1,Matches
1784,Morato,br BRA,DF,Nott'ham Forest,eng Premier League,23,2001,10.1,0,2,1,50.0,0.20,0.10,0.00,0.00,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
1785,Diego Moreira,pt POR,"DF,MF",Strasbourg,fr Ligue 1,19,2004,28.5,2,25,8,32.0,0.88,0.28,0.08,0.25,16.0,1,0,0,2.0,2.0,0.08,0.0,0.0,Matches
1786,Alberto Moreno,es ESP,DF,Como,it Serie A,32,1992,19.2,0,14,6,42.9,0.73,0.31,0.00,0.00,25.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
1787,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,eng Premier League,31,1993,10.6,0,6,0,0.0,0.57,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
